Sub-theme name,Descriptor,Development status,Practice domain,ToC Stage,Date approved,Theme database,Framework database,Decision Notes,Approved By,Status
"Encroachment prevention ","Community-led strategies to prevent illegal logging, land grabbing, wildfires, and other unauthorized activities that threaten forests, land tenure security, and biodiversity. ",Approved,,2: Outcome,,Natural Resource Management (https://www.notion.so/Natural-Resource-Management-31060bfb014e80159061d8484ebd662e?pvs=21),,,,Published to site
"Prevention of Forced Labour, Child Labour, Trafficking, and Exploitation","Ensuring that project activities uphold human rights by preventing forced labour, child labour, human trafficking, and other forms of exploitation. This includes establishing robust policies, monitoring mechanisms, and community safeguards to protect workers—especially vulnerable groups such as children, women, Indigenous Peoples, and migrant workers",Approved,,2: Outcome,,Safeguarding & Ethical Standards (https://www.notion.so/Safeguarding-Ethical-Standards-31060bfb014e805a9968f4a0b75b4630?pvs=21),,,,Published to site
"Workplace Health, Safety & Well-Being","Ensuring safe and dignified working conditions for all, including adherence to occupational health and safety standards, prevention of harassment and abuse, and access to safe reporting mechanisms without fear of reprisal.",Approved,,2: Outcome,,Safeguarding & Ethical Standards (https://www.notion.so/Safeguarding-Ethical-Standards-31060bfb014e805a9968f4a0b75b4630?pvs=21),,,,Published to site
Prevention of Sexual Harassment & Gender-Based Violence,"Ensuring a safe and respectful environment in all project activities by preventing sexual harassment and gender-based violence (GBV). Fostering a zero-tolerance culture for harassment, discrimination, and violence.",Approved,,2: Outcome,,Safeguarding & Ethical Standards (https://www.notion.so/Safeguarding-Ethical-Standards-31060bfb014e805a9968f4a0b75b4630?pvs=21),,,,Published to site
Inclusion & Non-Discrimination,"Projects promote gender equality, disability inclusion, and non-discriminatory practices in employment, leadership, and benefit-sharing. All individuals, regardless of race, ethnicity, age, gender identity, disability, or socioeconomic status, have equal opportunities to participate and benefit.",Approved,,2: Outcome,,Safeguarding & Ethical Standards (https://www.notion.so/Safeguarding-Ethical-Standards-31060bfb014e805a9968f4a0b75b4630?pvs=21),,,,Published to site
Fair & Equitable Compensation,"Wages and compensation structures are transparent, fair, and non-discriminatory, ensuring equal pay for equal work regardless of gender, ethnicity, disability, or other identity markers. ",Approved,,2: Outcome,,Safeguarding & Ethical Standards (https://www.notion.so/Safeguarding-Ethical-Standards-31060bfb014e805a9968f4a0b75b4630?pvs=21),,,,Published to site
Staff trained,"Staff members have participated in and successfully completed training programmes aimed at enhancing their professional skills, technical expertise, and capacity to contribute effectively to the project's objectives. ",Approved,,1: Output,,Training (https://www.notion.so/Training-31060bfb014e8006bc2ee471265aade7?pvs=21),,,,Published to site
Government trained,"Government staff who have participated in training through the project to build their knowledge and skills in areas relevant to the project. ",Approved,,1: Output,,Training (https://www.notion.so/Training-31060bfb014e8006bc2ee471265aade7?pvs=21),,,,Published to site
Partners trained,"Project partners who have participated in training through the project to build their knowledge and skills in areas relevant to the project. ",Approved,,1: Output,,Training (https://www.notion.so/Training-31060bfb014e8006bc2ee471265aade7?pvs=21),,,,Published to site
Community members trained,"Community members who have participated in training through the project to build their knowledge and skills in areas relevant to the project. ",Approved,,1: Output,,Training (https://www.notion.so/Training-31060bfb014e8006bc2ee471265aade7?pvs=21),,,,Published to site
"Carbon Market Technical Training
","Extent to which project stakeholders—particularly community members, local institutions, and implementing partners—have access to and demonstrate understanding of key carbon market concepts, processes, and technical requirements, including carbon accounting, credit generation, verification standards, and market mechanisms.",In development,,1: Output,,Training (https://www.notion.so/Training-31060bfb014e8006bc2ee471265aade7?pvs=21),,,,Not Published
Open data & reporting,"Publicly sharing project goals, funding, and impact assessments.",In development,,,,Transparency & Access to Information (https://www.notion.so/Transparency-Access-to-Information-31060bfb014e80feafbfe7acc733b872?pvs=21),,,,Not Published
Grievance redress mechanisms,Establishing accessible and independent channels for resolving community concerns.,In development,,,,Transparency & Access to Information (https://www.notion.so/Transparency-Access-to-Information-31060bfb014e80feafbfe7acc733b872?pvs=21),,,,Not Published
Clear roles & responsibilities,"Defining accountability structures for project implementers, governments, and communities.",In development,,,,Transparency & Access to Information (https://www.notion.so/Transparency-Access-to-Information-31060bfb014e80feafbfe7acc733b872?pvs=21),,,,Not Published
User rights protected,"Communities' rights to access, manage, and benefit from land and resources are legally recognized and upheld.",Approved,,1: Output,,User Rights and Land Tenure (https://www.notion.so/User-Rights-and-Land-Tenure-31060bfb014e80289263f60a5c2af35d?pvs=21),,,,Published to site
Cultural heritage & traditional knowledge safeguarded,"Ensuring that the cultural heritage, traditional knowledge, and practices of Indigenous Peoples and Local Communities are respected, protected, and integrated into project design and implementation. This includes recognizing Indigenous land stewardship, preserving sacred sites, and upholding the rights of communities to maintain and transmit their cultural and ecological knowledge",Approved,,1: Output,,User Rights and Land Tenure (https://www.notion.so/User-Rights-and-Land-Tenure-31060bfb014e80289263f60a5c2af35d?pvs=21),,,,Published to site
Land use plans agreed – no displacement,"Land use plans are developed and agreed upon through inclusive processes, ensuring sustainable management without displacing communities",Approved,,1: Output,,User Rights and Land Tenure (https://www.notion.so/User-Rights-and-Land-Tenure-31060bfb014e80289263f60a5c2af35d?pvs=21),,,,Published to site
Land tenure secured,"Land ownership and usage rights are formally documented, reducing conflicts and ensuring long-term security for communities.",Approved,,1: Output,,User Rights and Land Tenure (https://www.notion.so/User-Rights-and-Land-Tenure-31060bfb014e80289263f60a5c2af35d?pvs=21),,,,Published to site
Caregiver Participation in School Activities,"Covers caregiver attendance at school events, parent meetings, open days, and volunteering. Captures physical presence and active participation in the school community, distinct from communication behaviours. Grounded in Epstein's typology of parental involvement, specifically the volunteering and school involvement dimensions.",Proposed. Pending Go-No Go,,2: Outcome,,Caregiver engagement in Learning (https://www.notion.so/Caregiver-engagement-in-Learning-31360bfb014e80a1b7f9fec8fc241b1a?pvs=21),,,,Not Published
Caregiver Support for Learning at Home,"Covers the home learning environment, homework support, reading with children, and creation of conditions conducive to study. The most direct caregiver influence on learner attainment and consistently the strongest predictor of outcomes in the parental engagement literature. Captures home-based support as a distinct and critical engagement mechanism.",Proposed. Pending Go-No Go,,2: Outcome,,Caregiver engagement in Learning (https://www.notion.so/Caregiver-engagement-in-Learning-31360bfb014e80a1b7f9fec8fc241b1a?pvs=21),,,,Not Published
Caregiver Attitudes and Beliefs about Education,"Covers caregiver values, aspirations, and expectations for their child's education. Caregiver beliefs about the value of education are stronger predictors of learner persistence than structural engagement behaviours. Captures the attitudinal preconditions for sustained engagement rather than the behaviours themselves.",Proposed. Pending Go-No Go,,2: Outcome,,Caregiver engagement in Learning (https://www.notion.so/Caregiver-engagement-in-Learning-31360bfb014e80a1b7f9fec8fc241b1a?pvs=21),,,,Not Published
Barriers to Caregiver Engagement,"Covers structural, economic, cultural, and social barriers preventing caregivers from engaging, including work schedules, distance, gender norms, and language. A complementary diagnostic subtheme rather than a standalone outcome subtheme. Essential for interpreting low scores on any other caregiver engagement indicator and for informing programme design.",Proposed. Pending Go-No Go,,2: Outcome,,Caregiver engagement in Learning (https://www.notion.so/Caregiver-engagement-in-Learning-31360bfb014e80a1b7f9fec8fc241b1a?pvs=21),,,,Not Published
Caregiver Confidence and Capacity to Engage,"Covers caregiver self-efficacy in supporting learning, including literacy, numeracy, and confidence to interact with school staff. Captures programme effects on caregiver empowerment as a condition for engagement, particularly relevant in low-literacy contexts where willingness to engage may exist but skills or confidence are barriers.",Proposed. Pending Go-No Go,,2: Outcome,,Caregiver engagement in Learning (https://www.notion.so/Caregiver-engagement-in-Learning-31360bfb014e80a1b7f9fec8fc241b1a?pvs=21),,,,Not Published
Caregiver Wellbeing and Resilience,"Covers caregiver mental health, stress levels, and personal resilience as determinants of the quality and consistency of care and learning support they can provide. A caregiver who is overwhelmed, burnt out, or experiencing chronic stress cannot engage meaningfully with their child's education regardless of their knowledge, attitudes, or skills. This subtheme captures the personal resource dimension of caregiver empowerment and is a documented upstream determinant of child learning outcomes in adverse childhood experience and family resilience literature.",Proposed. Pending Go-No Go,,2: Outcome,,Caregiver  Learning & Empowerment (https://www.notion.so/Caregiver-Learning-Empowerment-31360bfb014e804da3a6fc38406c31d0?pvs=21),,,,Not Published
Caregiver Empowerment and Agency,"Covers the degree to which caregivers feel a sense of personal agency, voice, and capacity to make informed decisions that affect their child's education and wellbeing. Distinct from task-specific confidence in homework support and from peer support participation. Captures whether caregivers see themselves as active agents in their child's educational journey rather than passive recipients of school and programme decisions. Grounded in Freire's critical pedagogy and Malhotra and Schuler's empowerment framework.",Proposed. Pending Go-No Go,,2: Outcome,,Caregiver  Learning & Empowerment (https://www.notion.so/Caregiver-Learning-Empowerment-31360bfb014e804da3a6fc38406c31d0?pvs=21),,,,Not Published
Civic Engagement and Active Citizenship,"Covers the degree to which young people participate in civic processes beyond programme-structured settings, including community governance structures, local decision-making bodies, public consultations, civic advocacy, and community accountability mechanisms. Distinct from peer leadership, which is relational and peer-directed, and from community service, which is activity-based. Civic engagement captures whether young people are developing as active citizens who can navigate and influence formal civic structures. Grounded in Youniss, Flanagan, and Checkoway's civic development literature.",Proposed. Pending Go-No Go,,2: Outcome,,Contribution  & Leadership (https://www.notion.so/Contribution-Leadership-31360bfb014e803bb46adaced67ed396?pvs=21),,,,Not Published
Recognition and Visibility of Youth Contribution,"Covers whether youth contributions, ideas, and leadership are formally acknowledged, made visible to the broader community, and positioned as credible and valued by adults and institutions. Recognition is distinct from contribution as a behaviour and captures the structural and relational conditions that sustain youth engagement over time. Whether youth feel seen and valued as contributors is a documented predictor of civic identity development, sustained participation, and resilience against marginalisation, particularly for young people from underrepresented or excluded groups.",Proposed. Pending Go-No Go,,2: Outcome,,Contribution  & Leadership (https://www.notion.so/Contribution-Leadership-31360bfb014e803bb46adaced67ed396?pvs=21),,,,Not Published
Cross-Sector Coordination and Referral,"Covers how different actors operating in the same community or programme area, including schools, health services, social protection systems, NGOs, community structures, and government agencies, coordinate referrals and joint case management for learners and families with complex or intersecting needs. Distinct from partner alignment, which concerns strategic and evidential coordination. Cross-sector coordination and referral captures the operational interface between systems at the point of delivery.",Proposed. Pending Go-No Go,,1: Output,,Coordination  & Collective Learning (https://www.notion.so/Coordination-Collective-Learning-31360bfb014e802d864de4e4e785ae47?pvs=21),,,,Not Published
Shared Learning and Reflection Practices,"Covers whether structured collective reflection, joint learning reviews, and shared lesson documentation practices exist and function across the programme and its partners. Distinct from evidence use and adaptation, which concerns how evidence informs decisions, and from partner alignment, which concerns strategic coordination. Captures the social and collective processes through which actors learn together from experience and embed lessons into shared practice.",Proposed. Pending Go-No Go,,1: Output,,Coordination  & Collective Learning (https://www.notion.so/Coordination-Collective-Learning-31360bfb014e802d864de4e4e785ae47?pvs=21),,,,Not Published
Data Sharing and Joint Monitoring,"Covers whether programme partners share data, jointly collect monitoring information, and coordinate data use to avoid duplication and build a shared picture of what is happening across the system. Distinct from partner alignment, which concerns strategic coordination. Captures the operational systems and practices through which monitoring information flows across actors, enabling a coherent shared evidence base rather than fragmented parallel monitoring efforts.",Proposed. Pending Go-No Go,,1: Output,,Coordination  & Collective Learning (https://www.notion.so/Coordination-Collective-Learning-31360bfb014e802d864de4e4e785ae47?pvs=21),,,,Not Published
Disaggregated Outcome Equity,"Covers whether programme outcomes are equitably distributed across defined equity dimensions including gender, disability, socioeconomic background, ethnicity, geographic location, and age band. A monitoring and analysis construct rather than a programme activity construct. The ultimate test of whether the programme's equity commitments translate into equitable results, requiring systematic outcome disaggregation and gap analysis.",Proposed. Pending Go-No Go,,2: Outcome,,Equity & Inclusion (https://www.notion.so/Equity-Inclusion-31360bfb014e80cfaeeced7c2f6ff75e?pvs=21),,,,Not Published
Gender Equity and Participation,"Covers the degree to which girls, women, and gender-diverse young people participate equitably in programme activities, have equal voice in decision-making, and experience gender-equitable norms and attitudes in learning and community settings. Distinct from targeting and barrier reduction, which concerns access, and from disaggregated outcome equity, which concerns outcome distribution. Captures whether equitable participation is achieved in practice and whether gender norms are shifting.",Proposed. Pending Go-No Go,,2: Outcome,,Equity & Inclusion (https://www.notion.so/Equity-Inclusion-31360bfb014e80cfaeeced7c2f6ff75e?pvs=21),,,,Not Published
Perceived Fairness and Sense of Belonging,"Covers whether learners, youth, and community members from marginalised backgrounds feel they belong, are respected, treated fairly, and valued as equal participants in the programme environment. A perceptual equity construct distinct from structural access and from outcome equity. Captures the lived experience of inclusion, which is the most meaningful test of whether structural equity measures are working in practice.",Proposed. Pending Go-No Go,,2: Outcome,,Equity & Inclusion (https://www.notion.so/Equity-Inclusion-31360bfb014e80cfaeeced7c2f6ff75e?pvs=21),,,,Not Published
Material and Physical Home Learning Conditions,"Covers the physical and material conditions within the household that either enable or suppress a child's capacity to engage with learning at home. Distinct from caregiver behaviours, which are covered under Caregiver Support for Learning at Home. Captures the structural material infrastructure of the home environment, including study space, lighting, learning materials, and freedom from competing household demands during study time.",Proposed. Pending Go-No Go,,2: Outcome,,Home Conditions for Learning (https://www.notion.so/Home-Conditions-for-Learning-31360bfb014e80948c12f0d19415bde2?pvs=21),,,,Not Published
Inclusive Pedagogy and Facilitation Practice,"Covers whether teaching and facilitation methods are genuinely inclusive, accommodating diverse learning needs, styles, and abilities through differentiated instruction, adapted materials, and responsive facilitation. Distinct from Inclusion of Vulnerable Learners, which concerns who is present, and from Safety, Dignity and Respect, which concerns interpersonal treatment. Captures the instructional quality dimension of inclusion, whether learning delivery is itself accessible and responsive to all learners regardless of ability or need.",Proposed. Pending Go-No Go,,2: Outcome,,Inclusive Learning Environments (https://www.notion.so/Inclusive-Learning-Environments-31360bfb014e800ca568f773a3b6ce24?pvs=21),,,,Not Published
Monitoring and Data Use Culture,"Covers whether monitoring data is routinely reviewed, discussed, and used at the team and programme level to inform operational decisions, not just collected and reported upward. An internal data use culture construct distinct from inter-partner data sharing and from strategic evidence use. Captures whether there is a functioning internal culture of data-informed decision-making among the programme team, where monitoring data is trusted, accessible, understood, and acted upon.",Proposed. Pending Go-No Go,,1: Output,,Learning & Accountability Culture (https://www.notion.so/Learning-Accountability-Culture-31360bfb014e80768cfafb1cf997e28b?pvs=21),,,,Not Published
Staff and Facilitator Learning Culture,"Covers whether programme staff and facilitators engage in continuous professional learning, peer observation, coaching, and reflective practice as a routine part of their working life within the programme. An individual and team-level professional learning construct distinct from collective partner learning, which is covered under Coordination and Collective Learning, and from evidence use, which concerns strategic decisions. Captures whether the people delivering the programme are themselves learning and improving.",Proposed. Pending Go-No Go,,1: Output,,Learning & Accountability Culture (https://www.notion.so/Learning-Accountability-Culture-31360bfb014e80768cfafb1cf997e28b?pvs=21),,,,Not Published
Accountability to Communities and Participants,"Covers whether the programme is transparent and accountable to the learners, caregivers, and communities it serves, including how it communicates results, invites and responds to feedback, and handles complaints. A downward accountability construct distinct from community engagement, which concerns involvement, and from evidence use, which is internal. Captures whether the programme reports back to those it serves and responds to concerns in a timely and trustworthy way.",Proposed. Pending Go-No Go,,1: Output,,Learning & Accountability Culture (https://www.notion.so/Learning-Accountability-Culture-31360bfb014e80768cfafb1cf997e28b?pvs=21),,,,Not Published
Learning Loss Identification and Recovery,"Covers whether the programme identifies learners who have fallen behind expected learning levels and provides structured catch-up or remediation support to close those gaps. Distinct from foundational learning experiences, which concerns ongoing learning delivery for all learners, and from attendance and enrolment continuity, which concerns structural participation. Captures the targeted diagnostic and recovery response when continuity has broken down for specific learners.",Proposed. Pending Go-No Go,,2: Outcome,,Learning Continuity & Progression (https://www.notion.so/Learning-Continuity-Progression-31360bfb014e808a92ebd7e4b801e317?pvs=21),,,,Not Published
Attendance and Enrolment Continuity,"Covers whether learners remain enrolled and attending consistently across the school year and between school years, capturing the structural participation dimension of learning continuity. Distinct from foundational learning experiences, which concerns learning quality, and from learning loss identification and recovery, which concerns remediation after disruption. Attendance and enrolment continuity is the structural prerequisite for all learning progression outcomes.",Proposed. Pending Go-No Go,,1: Output,,Learning Continuity & Progression (https://www.notion.so/Learning-Continuity-Progression-31360bfb014e808a92ebd7e4b801e317?pvs=21),,,,Not Published
Transition Support and Pathway Progression,"Covers whether learners successfully navigate key educational transitions, including from primary to secondary, from out-of-school to enrolled, or from non-formal to formal education, and whether the programme provides structured transition support. Distinct from attendance and enrolment continuity, which concerns within-level participation, and from foundational learning experiences, which concerns within-level learning quality. Captures movement between educational levels and systems, a documented high dropout risk point.",Proposed. Pending Go-No Go,,2: Outcome,,Learning Continuity & Progression (https://www.notion.so/Learning-Continuity-Progression-31360bfb014e808a92ebd7e4b801e317?pvs=21),,,,Not Published
Pathway Decision-Making and Self-Efficacy,"Covers whether young people feel capable of making informed decisions about their educational and livelihood futures, have engaged in deliberate decision-making processes, and feel confident taking the steps required to pursue their chosen pathways. An agency and self-efficacy construct distinct from pathway knowledge, which is cognitive, and from institutional navigation, which is operational. Captures whether young people believe they can shape their own futures and are actively doing so.",Proposed. Pending Go-No Go,,2: Outcome,,Pathway Awareness & Navigation (https://www.notion.so/Pathway-Awareness-Navigation-31360bfb014e8078b3a4eb50d52b1748?pvs=21),,,,Not Published
Institutional Navigation and Referral,"Covers whether young people are able to access and navigate the institutions, services, and referral systems needed to pursue their chosen education and livelihood pathways, including applying to institutions, accessing financial support, and completing required enrolment processes. The operational navigation dimension distinct from pathway knowledge, which concerns what is known, and from decision-making self-efficacy, which concerns the confidence to choose. Captures whether young people can complete the practical steps between pathway decision and pathway entry.",Proposed. Pending Go-No Go,,2: Outcome,,Pathway Awareness & Navigation (https://www.notion.so/Pathway-Awareness-Navigation-31360bfb014e8078b3a4eb50d52b1748?pvs=21),,,,Not Published
Pathway Knowledge and Information Access,"Covers whether young people have accurate, sufficient, and accessible knowledge of the education and livelihood pathways available to them, including entry requirements, costs, timelines, application processes, and sources of support. The information precondition for informed pathway navigation. Distinct from decision-making self-efficacy, which concerns the agentic dimension, and from institutional navigation, which concerns access rather than knowledge.",Proposed. Pending Go-No Go,,2: Outcome,,Pathway Awareness & Navigation (https://www.notion.so/Pathway-Awareness-Navigation-31360bfb014e8078b3a4eb50d52b1748?pvs=21),,,,Not Published
Positive Psychological Functioning,"Covers the positive psychological resources that enable young people to engage actively and constructively with learning and life, including hope, sense of purpose, motivation, positive self-concept, and optimism. Distinct from emotional safety and stability, which concerns freedom from threat, and from resilience and coping, which concerns managing adversity. Captures the presence of constructive psychological assets rather than the absence of distress, representing the positive pole of the psychosocial wellbeing spectrum.",Proposed. Pending Go-No Go,,2: Outcome,,Psychosocial  Wellbeing (https://www.notion.so/Psychosocial-Wellbeing-31360bfb014e808f9b72d26ed05a3420?pvs=21),,,,Not Published
Social Connectedness and Peer Relationships,"Covers whether young people have positive, supportive, and trusting peer relationships within the programme environment, including friendships, peer support networks, and social belonging to the peer group. Distinct from broader institutional belonging under Equity and Inclusion and from interpersonal safety under Inclusive Learning Environments. Captures the relational dimension of psychosocial wellbeing, whether young people feel they have trusted peers in the programme context.",Proposed. Pending Go-No Go,,2: Outcome,,Psychosocial  Wellbeing (https://www.notion.so/Psychosocial-Wellbeing-31360bfb014e808f9b72d26ed05a3420?pvs=21),,,,Not Published
Policy Influence and Advocacy,"Covers whether the programme is actively seeking to influence policy, regulation, or government practice through evidence submission, policy consultation participation, stakeholder engagement with government as the primary audience, and documented instances of government decision-making informed by programme evidence. The directional and strategic dimension of public sector engagement. Distinct from government relationship building, which is relational, and from adoption into public systems, which is the institutional outcome.",Proposed. Pending Go-No Go,,2: Outcome,,Public Sector Engagement (https://www.notion.so/Public-Sector-Engagement-31360bfb014e8063ac84ee5a5f1b286e?pvs=21),,,,Not Published
Government Relationship Building and Engagement,"Covers whether the programme is actively cultivating working relationships with relevant government departments, agencies, and officials, including participation in government forums, joint planning, formal engagement mechanisms, and MOUs. The relationship and process dimension of public sector engagement. Distinct from adoption into public systems, which is the institutional outcome, and from policy influence and advocacy, which concerns changing government practice through evidence.",Proposed. Pending Go-No Go,,1: Output,,Public Sector Engagement (https://www.notion.so/Public-Sector-Engagement-31360bfb014e8063ac84ee5a5f1b286e?pvs=21),,,,Not Published
Cognitive and Language Readiness,"Covers whether learners have the foundational cognitive and language skills required to engage with learning at their current level, including language of instruction proficiency, working memory and attention, and pre-literacy and pre-numeracy readiness. Distinct from foundational learning experiences, which concerns current attainment, and from disability access and support, which concerns accommodation. Captures the cognitive prerequisites that determine whether a learner can access and process learning at their current level.",Proposed. Pending Go-No Go,,2: Outcome,,Readiness to Learn (https://www.notion.so/Readiness-to-Learn-31360bfb014e80e4a75aea741fce5a52?pvs=21),,,,Not Published
Attendance and Punctuality Readiness,"Covers whether learners consistently arrive at learning sessions on time, adequately prepared, and in a state of readiness to engage. The session-level behavioural readiness dimension distinct from attendance and enrolment continuity, which captures structural participation across the year. Captures punctuality, session preparedness, and alertness at session start as conditions that determine whether enrolled and present learners can benefit from each individual learning opportunity.",Proposed. Pending Go-No Go,,2: Outcome,,Readiness to Learn (https://www.notion.so/Readiness-to-Learn-31360bfb014e80e4a75aea741fce5a52?pvs=21),,,,Not Published
"Teacher Motivation, Retention and Wellbeing","Covers whether teachers and facilitators have adequate motivation, working conditions, and wellbeing to sustain high-quality instructional practice over time. The human sustainability construct for the teaching workforce. Distinct from instructional leadership, which is the institutional enabling condition, and from professional learning cultures, which is collaborative learning. Captures the individual and relational conditions that determine whether teachers can and will sustain high-quality practice.",Proposed. Pending Go-No Go,,2: Outcome,,School  & Teacher Systems (https://www.notion.so/School-Teacher-Systems-31360bfb014e80f6b752ebc177705465?pvs=21),,,,Not Published
Instructional Leadership and School Management,"Covers whether school leaders and programme managers are providing the instructional leadership, structured teacher support, and school improvement planning required to create the institutional conditions for sustained learning quality improvement. The top-down enabling condition for school improvement. Distinct from professional learning cultures, which is peer-driven, and from assessment for learning systems, which is classroom-level. Captures whether leaders create the structural and cultural conditions that enable all other improvement processes to function.",Proposed. Pending Go-No Go,,1: Output,,School  & Teacher Systems (https://www.notion.so/School-Teacher-Systems-31360bfb014e80f6b752ebc177705465?pvs=21),,,,Not Published
Assessment for Learning Systems,"Covers whether schools and programmes have functioning systems for using assessment data to understand learner progress and adapt instruction, including assessment tools, data recording, analysis routines, and instructional adaptation practices. Distinct from foundational learning attainment, which measures outcomes, and from professional learning cultures, which is peer-driven. Captures the institutional feedback loop between assessment information and teaching decisions.",Proposed. Pending Go-No Go,,1: Output,,School  & Teacher Systems (https://www.notion.so/School-Teacher-Systems-31360bfb014e80f6b752ebc177705465?pvs=21),,,,Not Published
Collaborative and Civic Skills,"Covers whether learners can work effectively with others, contribute to collective tasks, resolve disagreements constructively, and participate in basic civic processes. A relational and participatory competency construct. Distinct from communication skills, which is individual expression, and from learning to learn, which is internal and metacognitive. Captures the social infrastructure for adaptability and work readiness enacted in group and community contexts.",Proposed. Pending Go-No Go,,2: Outcome,,Transferable & Applied Skills (https://www.notion.so/Transferable-Applied-Skills-31360bfb014e80eb98bbe10289a71345?pvs=21),,,,Not Published
Learning to Learn and Self-Regulation,"Covers the metacognitive and self-regulatory skills that enable learners to direct their own learning, including goal setting, self-monitoring, persistence, and reflection. The foundational meta-skill construct. Distinct from domain-specific skills such as communication and digital skills, and from collaborative and civic skills. Captures the internal infrastructure that determines whether other transferable skills can be acquired and sustained across contexts.",Proposed. Pending Go-No Go,,2: Outcome,,Transferable & Applied Skills (https://www.notion.so/Transferable-Applied-Skills-31360bfb014e80eb98bbe10289a71345?pvs=21),,,,Not Published
Applied and Contextualised Skill Use,"Covers whether learners can apply skills acquired in the programme context to new or real-world situations outside the classroom, including recognising skill relevance in a new context, adapting the skill appropriately, and applying it successfully. The transfer and application construct. Distinct from skill acquisition, which concerns whether skills were learned, and from learning to learn, which is metacognitive. Captures whether programme-acquired skills produce real-world benefit beyond the learning context.",Proposed. Pending Go-No Go,,2: Outcome,,Transferable & Applied Skills (https://www.notion.so/Transferable-Applied-Skills-31360bfb014e80eb98bbe10289a71345?pvs=21),,,,Not Published
Revenue,"Tracks income generated by the Learning Centre through space rental, tenancy agreements, and bespoke organisational training, and the proportion of Learning Centre running costs covered by commercial income.",In development,,1: Output,,Learning Centre Performance (https://www.notion.so/Learning-Centre-Performance-34060bfb014e81019f2cd476f1b66d12?pvs=21),,,,Not Published
Reach,"Tracks the number of individuals accessing free learning programmes through the Learning Centre, disaggregated by age, gender, and vulnerability status, and the volume of community learning sessions delivered directly and through tenant partners.",In development,,1: Output,,Learning Centre Performance (https://www.notion.so/Learning-Centre-Performance-34060bfb014e81019f2cd476f1b66d12?pvs=21),,,,Not Published
Family Ripple Effect,"Captures the extent to which a scholar's participation in TFFT programmes positively influences the educational attitudes, behaviours, and aspirations of siblings, parents, and wider household members — modelling what learning makes possible and raising household aspirations.",In development,,2: Outcome,,Scholars & Alumni (https://www.notion.so/Scholars-Alumni-34060bfb014e81058a88de9ef481569d?pvs=21),,,,Not Published
Fair Compensation & Decent Work,"Ensuring that all project workers receive wages and compensation that are fair, transparent, and equitable across gender and identity groups, and that employment conditions meet recognised decent work standards including job security, benefits, and dignified treatment.",Approved,,1: Output,,Recruitment and Management (https://www.notion.so/Recruitment-and-Management-31360bfb014e80e98897f0aa9f40d117?pvs=21),,,,Not Published
Inclusive & Localized Employment,"Ensuring that project employment opportunities prioritise and are accessible to local community members, including women, Indigenous Peoples, persons with disabilities, and other marginalised groups. This sub-theme tracks equitable recruitment practices, local hiring targets, and the removal of barriers that prevent community members from benefiting economically from project-generated employment.",Approved,,1: Output,,Recruitment and Management (https://www.notion.so/Recruitment-and-Management-31360bfb014e80e98897f0aa9f40d117?pvs=21),,,,Not Published
Worker Grievance & Industrial Relations,"Ensuring that project workers have access to functioning, accessible, and trusted mechanisms to raise concerns about working conditions, treatment, or rights violations, and that worker-management relations are governed by fair, transparent, and accountable processes.",Approved,,1: Output,,Recruitment and Management (https://www.notion.so/Recruitment-and-Management-31360bfb014e80e98897f0aa9f40d117?pvs=21),,,,Not Published
"Occupational Health, Safety & Training","Ensuring that project workers operate in safe and healthy working environments, receive adequate safety training before commencing work, and have access to protective equipment and emergency procedures. This sub-theme also tracks investment in worker skill development and capacity building.",Approved,,1: Output,,Recruitment and Management (https://www.notion.so/Recruitment-and-Management-31360bfb014e80e98897f0aa9f40d117?pvs=21),,,,Not Published
Human Safety & Psychological Wellbeing,"Measuring the physical safety risks and psychological wellbeing impacts experienced by community members as a result of human-wildlife conflict, including fear, anxiety, trauma, and changes in daily behaviour. This sub-theme tracks whether communities feel safe and whether mental health burdens associated with conflict are addressed.",Approved,,2: Outcome,,Human-Wildlife Conflict (https://www.notion.so/Human-Wildlife-Conflict-31060bfb014e80c4b3aef254befa8e4d?pvs=21),,,,Not Published
Livelihood Impact,"Assessing the economic losses experienced by households as a result of human-wildlife conflicts, including damage to crops, livestock, property, and stored food. This sub-theme tracks the magnitude and distribution of livelihood impacts and the extent to which affected households are able to recover.",Approved,,2: Outcome,,Human-Wildlife Conflict (https://www.notion.so/Human-Wildlife-Conflict-31060bfb014e80c4b3aef254befa8e4d?pvs=21),,,,Not Published
Land-Use Change and Wildlife Displacement,"Assessing how land-use changes within and around the project boundary affect wildlife movement patterns and the resulting displacement of wildlife into community areas, which can intensify human-wildlife conflicts. This sub-theme monitors the interaction between project conservation activities and wildlife-community interface dynamics.",Approved,,2: Outcome,,Human-Wildlife Conflict (https://www.notion.so/Human-Wildlife-Conflict-31060bfb014e80c4b3aef254befa8e4d?pvs=21),,,,Not Published
Conflict Incidence,"Monitoring the frequency, type, location, and severity of human-wildlife conflict incidents within and around the project boundary. This includes crop raiding, livestock predation, property damage, and direct attacks on people, tracked over time to assess conflict trends and the effectiveness of mitigation measures.",Approved,,2: Outcome,,Human-Wildlife Conflict (https://www.notion.so/Human-Wildlife-Conflict-31060bfb014e80c4b3aef254befa8e4d?pvs=21),,,,Not Published
