Sub-theme name,Approved By,Date approved,Decision Notes,Descriptor,Development status,Framework database,Indicators,Practice domain,Status,Temp Filter,Theme database,ToC Stage
Bonding Social Capital: Trust and Support Within Communities,,,,"Strength of relationships, solidarity, and mutual aid among people with shared identities or within the same group (e.g. neighbours, clan, livelihood group).",Approved,,"How much do you trust people in your community to treat you fairly and with respect? (https://www.notion.so/How-much-do-you-trust-people-in-your-community-to-treat-you-fairly-and-with-respect-34060bfb014e813cb710e0de7b50722c?pvs=21), Do you feel a strong sense of belonging to your community? (https://www.notion.so/Do-you-feel-a-strong-sense-of-belonging-to-your-community-34060bfb014e8178b944dcdb7700a169?pvs=21), Do community members in your area regularly support and help each other in times of need, such as sharing food, labour, or resources? (https://www.notion.so/Do-community-members-in-your-area-regularly-support-and-help-each-other-in-times-of-need-such-as-sh-34060bfb014e8111a6f9d9e6546ae829?pvs=21), Since this project began, how have relationships and solidarity within your community changed? (https://www.notion.so/Since-this-project-began-how-have-relationships-and-solidarity-within-your-community-changed-34060bfb014e813c8221efd4583497da?pvs=21), How much do you trust your neighbours and other people in your community to honour agreements, act fairly, and look out for one another? (https://www.notion.so/How-much-do-you-trust-your-neighbours-and-other-people-in-your-community-to-honour-agreements-act-f-34060bfb014e815fac00cb506aad7fd3?pvs=21), Do people in your community regularly support and help each other in times of difficulty — for example by sharing food, labour, childcare, or other resources? (https://www.notion.so/Do-people-in-your-community-regularly-support-and-help-each-other-in-times-of-difficulty-for-examp-34060bfb014e81e18c1ddb0eb76fadd0?pvs=21), Has this project caused or increased social tensions or conflicts between community members? (https://www.notion.so/Has-this-project-caused-or-increased-social-tensions-or-conflicts-between-community-members-34060bfb014e819dbcaecea48dda37a0?pvs=21), Since this project began, how have the solidarity and bonds within your community changed? (https://www.notion.so/Since-this-project-began-how-have-the-solidarity-and-bonds-within-your-community-changed-34060bfb014e819cab7bcc6c7cd88d35?pvs=21)",,Published to site,SMRV,Social Cohesion and Strengthened Social Capital (https://www.notion.so/Social-Cohesion-and-Strengthened-Social-Capital-31060bfb014e803fa898d77cdce15ae5?pvs=21),2: Outcome
Bridging Social Capital: Collaboration Across Groups,,,,"Relationships between different social groups (e.g. ethnicities, religions, generations, clans, or genders) that foster mutual understanding and cooperation.",Approved,,"If your community faced a problem, how confident are you that people would come together to solve it? (https://www.notion.so/If-your-community-faced-a-problem-how-confident-are-you-that-people-would-come-together-to-solve-it-34060bfb014e81f4a215e9bb6d58b273?pvs=21), Do people in your community support each other when someone is in need (e.g. by contributing money, food, time, or emotional support)? (https://www.notion.so/Do-people-in-your-community-support-each-other-when-someone-is-in-need-e-g-by-contributing-money--34060bfb014e818c88b5dcafda7b852f?pvs=21), How well do different groups in your community — such as different clans, ethnicities, religions, or genders — cooperate and understand each other? (https://www.notion.so/How-well-do-different-groups-in-your-community-such-as-different-clans-ethnicities-religions-or-34060bfb014e81549e50cc27d9cca35e?pvs=21), Has this project reduced or increased tensions between different groups in your community? (https://www.notion.so/Has-this-project-reduced-or-increased-tensions-between-different-groups-in-your-community-34060bfb014e812798b6e00b6ffb0646?pvs=21), How well do different groups in your community — such as different ethnicities, religions, clans, or genders — cooperate and understand each other? (https://www.notion.so/How-well-do-different-groups-in-your-community-such-as-different-ethnicities-religions-clans-or-34060bfb014e81039434e34a8e9b371e?pvs=21), Do people from different groups in your community — for example different ethnicities, religions, clans, or genders — come together for shared activities or collective work? (https://www.notion.so/Do-people-from-different-groups-in-your-community-for-example-different-ethnicities-religions-cl-34060bfb014e81419d23c54f068b97db?pvs=21), Do you feel that any groups in your community are being excluded from or negatively affected by project activities? (https://www.notion.so/Do-you-feel-that-any-groups-in-your-community-are-being-excluded-from-or-negatively-affected-by-proj-34060bfb014e81a38873d6f58ad1f8d4?pvs=21), Since this project began, how have relations between different groups — such as different clans, ethnicities, or genders — changed in your community? (https://www.notion.so/Since-this-project-began-how-have-relations-between-different-groups-such-as-different-clans-eth-34060bfb014e818097c7d35267962550?pvs=21)",,Published to site,SMRV,Social Cohesion and Strengthened Social Capital (https://www.notion.so/Social-Cohesion-and-Strengthened-Social-Capital-31060bfb014e803fa898d77cdce15ae5?pvs=21),2: Outcome
Linking Social Capital: Trust in Institutions and External Actors,,,,"Trust and ability to engage with those in power — including NGOs, government, project implementers, and traditional leaders.",Approved,,"How much do you trust project implementers, NGOs, or government representatives to act in the best interests of your community? (https://www.notion.so/How-much-do-you-trust-project-implementers-NGOs-or-government-representatives-to-act-in-the-best-i-34060bfb014e810884f9cf9bb1fac68a?pvs=21), Do you feel well-informed by institutions and organisations about the decisions and actions that affect your community? (https://www.notion.so/Do-you-feel-well-informed-by-institutions-and-organisations-about-the-decisions-and-actions-that-aff-34060bfb014e8131b3eefbc93afd45d5?pvs=21), How much do you trust project implementers, NGOs, and government representatives to genuinely act in the best interests of your community? (https://www.notion.so/How-much-do-you-trust-project-implementers-NGOs-and-government-representatives-to-genuinely-act-in-34060bfb014e810eac7dcb8e2130bc59?pvs=21), When your community raises concerns or provides feedback to project implementers, NGOs, or government, are those concerns taken seriously and acted upon? (https://www.notion.so/When-your-community-raises-concerns-or-provides-feedback-to-project-implementers-NGOs-or-governmen-34060bfb014e811da6a0f6607c5b30d6?pvs=21), Do you believe that project implementers and NGOs genuinely care about your community’s wellbeing and long-term interests? (https://www.notion.so/Do-you-believe-that-project-implementers-and-NGOs-genuinely-care-about-your-community-s-wellbeing-an-34060bfb014e81ce823bc13ed645bd4f?pvs=21), Since this project began, how has your trust in project implementers, NGOs, and government representatives changed? (https://www.notion.so/Since-this-project-began-how-has-your-trust-in-project-implementers-NGOs-and-government-represent-34060bfb014e812092e6e16d055efabd?pvs=21)",,Published to site,SMRV,Social Cohesion and Strengthened Social Capital (https://www.notion.so/Social-Cohesion-and-Strengthened-Social-Capital-31060bfb014e803fa898d77cdce15ae5?pvs=21),2: Outcome
"Collective Efficacy and Community Solidarity
    ",,,,Confidence that the community can work together to solve shared problems.,Approved,,"How confident are you that your community could organise and work together effectively to solve a serious shared problem — such as managing water shortages, preventing illegal encroachment, or addressing a community conflict? (https://www.notion.so/How-confident-are-you-that-your-community-could-organise-and-work-together-effectively-to-solve-a-se-34060bfb014e81cea05dfdcebb0246e2?pvs=21), Can you give an example of a time when your community successfully came together to solve a shared challenge or take collective action for the common good? (https://www.notion.so/Can-you-give-an-example-of-a-time-when-your-community-successfully-came-together-to-solve-a-shared-c-34060bfb014e8164be75fdf8e9be31ac?pvs=21), Are there community members who feel excluded from or negatively affected by this project in ways that are creating tensions or divisions? (https://www.notion.so/Are-there-community-members-who-feel-excluded-from-or-negatively-affected-by-this-project-in-ways-th-34060bfb014e8153a3aed92e7c953642?pvs=21), How strong is the sense of community solidarity in your area — do people regularly come together for collective activities and share a sense of common purpose? (https://www.notion.so/How-strong-is-the-sense-of-community-solidarity-in-your-area-do-people-regularly-come-together-for-34060bfb014e816ab267f5ddb94bddd9?pvs=21), If your community faced a serious shared problem — such as a natural disaster, environmental threat, or community conflict — how confident are you that people would come together effectively to resolve it? (https://www.notion.so/If-your-community-faced-a-serious-shared-problem-such-as-a-natural-disaster-environmental-threat--34060bfb014e8131b49de0d46b064493?pvs=21), Can you give a recent example of your community coming together to successfully solve a shared problem or challenge? (https://www.notion.so/Can-you-give-a-recent-example-of-your-community-coming-together-to-successfully-solve-a-shared-probl-34060bfb014e81809adbc6522f03a742?pvs=21), Is there a strong sense of shared identity, belonging, and solidarity in your community — a feeling that ‘we are in this together’? (https://www.notion.so/Is-there-a-strong-sense-of-shared-identity-belonging-and-solidarity-in-your-community-a-feeling--34060bfb014e816e9e2dc32cdb541e71?pvs=21), Has this project strengthened your community’s collective ability to work together and take action on shared challenges? (https://www.notion.so/Has-this-project-strengthened-your-community-s-collective-ability-to-work-together-and-take-action-o-34060bfb014e814b9e78f8bf333b6c9a?pvs=21)",,Published to site,SMRV,Social Cohesion and Strengthened Social Capital (https://www.notion.so/Social-Cohesion-and-Strengthened-Social-Capital-31060bfb014e803fa898d77cdce15ae5?pvs=21),2: Outcome
Perceived Importance and Value of Improved Reliability of Essential Public Services,Kate McAlpine,"March 6, 2026",,"This sub-theme captures stakeholder perceptions of the importance, significance, and lived value of improved reliability, functionality, and sustained accessibility of essential public services - including education, healthcare, and water.",Approved,,,Social Value,Published to site,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),2: Outcome
Perceived Importance and Value of Increased Village-Level Economic Activity,Kate McAlpine,"March 6, 2026",,This sub-theme captures stakeholder perceptions of the importance and value of increased village-level economic activity associated with the presence of salaried staff and expanded service provision.,Approved,,,Social Value,Published to site,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),2: Outcome
Perceived Importance and Value of Improved School Attendance and Participation,Kate McAlpine,"March 6, 2026",,This sub-theme captures stakeholder perceptions of the importance and value of improved school attendance and consistent participation associated with school feeding and related educational support.,Approved,,,Social Value,Published to site,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),2: Outcome
Perceived Importance and Value of Reduced Caregiving Burden,Kate McAlpine,"March 6, 2026",,"This sub-theme captures stakeholder perceptions of the importance and value of reduced or redistributed caregiving responsibilities within households, and the extent to which changes in care burden alter how time is allocated.
",Approved,,,Social Value,Published to site,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),2: Outcome
"Perceived Importance and Value of Increased Household Income
",Kate McAlpine,"March 6, 2026",,"This sub-theme captures stakeholder perceptions of the importance and value of increases in household income resulting from expanded income-generating activities, including those enabled through access to community-based savings and credit mechanisms.",Approved,,,Social Value,Published to site,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),2: Outcome
"Perceived Importance and Value of Increased Reliability of Farming Conditions
",Kate McAlpine,"March 6, 2026",,"This sub-theme captures stakeholder perceptions of the importance and value of increased reliability of farming conditions, including greater confidence in seasonal timing and crop yields.
",Approved,,,Social Value,Published to site,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),2: Outcome
Perceived Importance and Value of Improved Household Health,Kate McAlpine,"March 6, 2026",,"This sub-theme captures stakeholder perceptions of the importance and value of improvements in personal or household health associated with increased access to preventative and local healthcare services, including earlier treatment, improved maternal health, and reduced severity of illness.",Approved,,,Social Value,Published to site,,Social Valuation (https://www.notion.so/Social-Valuation-31860bfb014e80e39a59f0bb8b78a09d?pvs=21),2: Outcome
Perceived Fairness of Benefit Distribution Within the Village,Kate McAlpine,"March 6, 2026",,"This sub-theme captures stakeholder perceptions of whether the benefits associated with an intervention are distributed equitably among households or community members, including whether any groups are perceived to be favoured or disadvantaged.
",Approved,,,Social Legitimacy Assessment,Published to site,,Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21),2: Outcome
Perceived Inclusiveness and Representation in Village Decision-Making,Kate McAlpine,"March 6, 2026",,"This sub-theme captures stakeholder perceptions of whether decision-making processes related to an intervention are inclusive, representative, and allow meaningful participation across different groups.
",Approved,,,Social Legitimacy Assessment,Published to site,,Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21),2: Outcome
Perceived Trust in Implementers,Kate McAlpine,"March 6, 2026",,"This sub-theme captures stakeholder perceptions of the integrity, reliability, and good faith of those responsible for implementing the intervention.",Approved,,,Social Legitimacy Assessment,Published to site,,Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21),2: Outcome
Perceived Continuity of the Intervention and Its Benefits,Kate McAlpine,"March 6, 2026",,"This construct captures stakeholder perceptions of whether the intervention, its associated benefits, and the rules governing it are likely to continue over time without interruption, sudden change, or withdrawal.",Approved,,,Social Legitimacy Assessment,Published to site,,Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21),2: Outcome
Perceived Social Burdens and Tensions Associated with the Intervention,Kate McAlpine,"March 6, 2026",,"This sub-theme captures stakeholder perceptions of social burdens, restrictions, or tensions associated with an intervention, including concerns about conflict, exclusion, or negative social consequences.",Approved,,,Social Legitimacy Assessment,Published to site,,Social Legitimacy (https://www.notion.so/Social-Legitimacy-31860bfb014e80cda468ec6727530176?pvs=21),2: Outcome
