Question Text,Answer Type,Description,Has Conditional Logic?,Indicator database,Logic Summary,Platform Question ID. Populated after upload,Required?,Response option set,Stakeholder Category,Status,Status 1,Subtheme,Theme
How many designated administrative office constructed using carbon funds does the community have?,Number,Captures availability of administrative infrastructure supporting institutional management and coordination.,No,Number of administrative offices completed within the project area (https://www.notion.so/Number-of-administrative-offices-completed-within-the-project-area-32c60bfb014e8007a581eca3ee046edc?pvs=21),,,No,,"Communities affected by the project, Marginalised groups",In Development,Done,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"How many latrines were constructed or improved using carbon funds at this school or community facility? ",Number,"Measures the presence of sanitation infrastructure explicitly funded through carbon financing, ensuring attribution of outputs to carbon-funded investments.",No,Number of carbon-finance-supported school and community latrines built and functional within the project area (https://www.notion.so/Number-of-carbon-finance-supported-school-and-community-latrines-built-and-functional-within-the-pro-32c60bfb014e8078a259fdc46df538a5?pvs=21),Are there latrines constructed or improved using carbon funds at this school or community facility?,,No,,"Communities affected by the project, Marginalised groups",In Development,Done,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How many teacher houses were constructed through the received carbon funds in or near this school/community?,Number,"Measures community awareness and presence of teacher housing specifically constructed through the funded project, ensuring attribution to project-supported infrastructure.",No,Number of carbon-finance-supported teacher houses completed within the project area (https://www.notion.so/Number-of-carbon-finance-supported-teacher-houses-completed-within-the-project-area-32c60bfb014e806a9be2f7fe83afc7f6?pvs=21),Are there teacher houses constructed through the received carbon funds in or near this school/community?,,No,Yes / No (https://www.notion.so/Yes-No-30a60bfb014e804abef7c04bf746870a?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Done,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"How many consultation offices does the health facility have which are constructed or improved using carbon funds? ",Number,Measures the availability of private consultation infrastructure supported through carbon-funded investment.,No,Number of medical staff offices created to support patient consultation. (https://www.notion.so/Number-of-medical-staff-offices-created-to-support-patient-consultation-32c60bfb014e80c78e3aeb0b38bca7e9?pvs=21),Does the health facility have consultation offices constructed or improved using carbon funds?,,No,,"Communities affected by the project, Marginalised groups",In Development,Done,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"If yes, how many water points were installed using carbon funds?",Number,Measures whether carbon-funded water access infrastructure has been provided.,No,Number of carbon-finance-supported water points installed within the project area (https://www.notion.so/Number-of-carbon-finance-supported-water-points-installed-within-the-project-area-32c60bfb014e80ae9b7cff7e76a8f560?pvs=21),,,No,,"Communities affected by the project, Marginalised groups",In Development,Done,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"If yes, how many storage tanks were constructed using carbon funds?",Number,Measures whether carbon-funded water storage infrastructure has been provided.,No,Number of carbon-finance-supported storage tanks constructed within the project area. (https://www.notion.so/Number-of-carbon-finance-supported-storage-tanks-constructed-within-the-project-area-32c60bfb014e803b82eae6b90d3b7dbd?pvs=21),Are there any storage tanks that were constructed using carbon funds in this community or facility?,,No,,"Communities affected by the project, Marginalised groups",In Development,Done,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Are you currently enrolled in a school feeding program supported through carbon funds? ",Multiple Choice,Measures participation in school feeding interventions financed through carbon funds.,No,"Proportion of school-aged children enrolled in the school feeding program.
 (https://www.notion.so/Proportion-of-school-aged-children-enrolled-in-the-school-feeding-program-32c60bfb014e808c9edecfd23c7f1afd?pvs=21)",,,No,Yes / No (https://www.notion.so/Yes-No-30a60bfb014e804abef7c04bf746870a?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Done,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"During the current school term, have you attended classes in the newly constructed or improved classrooms?",Multiple Choice,Measures the extent to which students are actively using newly constructed or improved school facilities during the reporting period.,No,Proportion of students attending classes in carbon-finance-supported newly constructed or improved school facilities during the current school term (https://www.notion.so/Proportion-of-students-attending-classes-in-carbon-finance-supported-newly-constructed-or-improved-s-32c60bfb014e80cfacaecf281a4681d1?pvs=21),,,No,Yes / No (https://www.notion.so/Yes-No-30a60bfb014e804abef7c04bf746870a?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Done,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
What was the main reason for the most recent visit?,Multiple Choice,Measures household-level use of the health facility during the last month.,No,Number of monthly patient visits per carbon-finance-supported healthcare facility within the project area (https://www.notion.so/Number-of-monthly-patient-visits-per-carbon-finance-supported-healthcare-facility-within-the-project-32c60bfb014e80c8ac16e79743ffd352?pvs=21),"In the last 30 days, how many times have you or members of your household visited the new or improved health facility?",,No,Healthcare Services Utilization (https://www.notion.so/Healthcare-Services-Utilization-32d60bfb014e80f384e9dfca0fce7861?pvs=21),"Communities affected by the project, Marginalised groups",In Development,Done,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Thinking about your life three years from today, what is one specific goal you have for your education (like finishing a course) or your work (like starting a business or job)?",Multiple Choice,"Measures the respondent's ability to articulate a specific, time-bound, and categorized future intention.",No,"Proportion of learners who can name a specific next educational level, qualification, or institution they are working toward, at the time of survey (https://www.notion.so/Proportion-of-learners-who-can-name-a-specific-next-educational-level-qualification-or-institution-32060bfb014e80a0bb30d9c4c9605c76?pvs=21)",,,No,Yes / No (https://www.notion.so/Yes-No-30a60bfb014e804abef7c04bf746870a?pvs=21),Communities affected by the project,In Development,Done,Future orientation (https://www.notion.so/Future-orientation-31260bfb014e80b286cae83cc239382a?pvs=21),Agency & Aspirations (https://www.notion.so/Agency-Aspirations-31360bfb014e80c983cbf4cf741913ac?pvs=21)
"In the last 6 months, have you taken a specific action to move closer to a goal? (Examples: saved money, practiced a skill, or asked for advice)?",Multiple Choice,Measures self-reported behavioral evidence of agency and proactive movement toward aspirations.,No,,,,No,Yes / No (https://www.notion.so/Yes-No-30a60bfb014e804abef7c04bf746870a?pvs=21),Communities affected by the project,In Development,Done,Future orientation (https://www.notion.so/Future-orientation-31260bfb014e80b286cae83cc239382a?pvs=21),Agency & Aspirations (https://www.notion.so/Agency-Aspirations-31360bfb014e80c983cbf4cf741913ac?pvs=21)
What is the very first step you need to take to reach this goal?,Text,"Measures the respondent's ability to articulate a specific, time-bound, and categorized future intention.",No,"Proportion of learners who can name a specific next educational level, qualification, or institution they are working toward, at the time of survey (https://www.notion.so/Proportion-of-learners-who-can-name-a-specific-next-educational-level-qualification-or-institution-32060bfb014e80a0bb30d9c4c9605c76?pvs=21)","Measures the respondent's ability to articulate a specific, time-bound, and categorized future intention.",,No,,Communities affected by the project,In Development,Done,Future orientation (https://www.notion.so/Future-orientation-31260bfb014e80b286cae83cc239382a?pvs=21),Agency & Aspirations (https://www.notion.so/Agency-Aspirations-31360bfb014e80c983cbf4cf741913ac?pvs=21)
How long has your household been residing in this housing? Were you identified as an eligible beneficiary through the project's housing allocation process?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
Is your household currently living in or   using affordable housing that was constructed through the carbon finance project?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
Is this water point your household's   primary or secondary water source? How frequently does your household use it?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
Does your household currently use any of the water points constructed or improved through the carbon finance project as a source of water?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"What type is each newly constructed facility? (e.g. clinic, health post, maternity ward) Which level of healthcare does it serve? (primary, secondary, tertiary)",,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How many new healthcare facilities have been constructed from scratch using carbon finance revenues and confirmed as completed within the project area during the reporting period?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
What school level does each completed classroom serve? Is the classroom part of a new school build or an extension of an existing school?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How many new classrooms funded by carbon finance revenues have been fully constructed and roofed within the project area during the reporting period?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Please specify the facility name, type,  and whether the facility was newly constructed or rehabilitated with carbon finance",,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How many patient visits were recorded at each carbon-finance-supported healthcare facility during the most recent complete month of the reporting period?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"In which type of facility is each consultation office located? (e.g. clinic, health post, maternity ward)",,,No,Number of medical staff offices created to support patient consultation. (https://www.notion.so/Number-of-medical-staff-offices-created-to-support-patient-consultation-32c60bfb014e80c78e3aeb0b38bca7e9?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How many dedicated medical staff consultation offices funded by carbon finance revenues have been created and confirmed as completed within the project area during the reporting period?,,,No,Number of medical staff offices created to support patient consultation. (https://www.notion.so/Number-of-medical-staff-offices-created-to-support-patient-consultation-32c60bfb014e80c78e3aeb0b38bca7e9?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"What was the scope of rehabilitation  works at each facility? (e.g. structural repairs, roof replacement, electrical rewiring, plumbing, repainting as part of broader works)",,,No,Number of existing healthcare facilities rehabilitated within the project area (https://www.notion.so/Number-of-existing-healthcare-facilities-rehabilitated-within-the-project-area-33d60bfb014e80bc93bdf7c33c8dcfb5?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How many existing healthcare facilities have been rehabilitated using carbon finance revenues and confirmed as completed within the project area during the reporting period?,,,No,Number of existing healthcare facilities rehabilitated within the project area (https://www.notion.so/Number-of-existing-healthcare-facilities-rehabilitated-within-the-project-area-33d60bfb014e80bc93bdf7c33c8dcfb5?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"What type is each installed water point? (e.g. borehole, communal tap, hand pump, spring catchment)",,,No,Number of carbon-finance-supported water points installed within the project area (https://www.notion.so/Number-of-carbon-finance-supported-water-points-installed-within-the-project-area-32c60bfb014e80ae9b7cff7e76a8f560?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How many water points funded by carbon finance revenues have been installed and reached practical completion within the project area during the reporting period?,,,No,Number of carbon-finance-supported water points installed within the project area (https://www.notion.so/Number-of-carbon-finance-supported-water-points-installed-within-the-project-area-32c60bfb014e80ae9b7cff7e76a8f560?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How many teacher residential houses funded by carbon finance revenues have been fully completed within the project area during the reporting period?,,,No,Number of carbon-finance-supported teacher houses completed within the project area (https://www.notion.so/Number-of-carbon-finance-supported-teacher-houses-completed-within-the-project-area-32c60bfb014e806a9be2f7fe83afc7f6?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"What is the type and storage capacity of  each completed tank? (e.g. elevated tank, ground-level reservoir, rainwater harvesting tank)",,,No,Number of carbon-finance-supported storage tanks constructed within the project area. (https://www.notion.so/Number-of-carbon-finance-supported-storage-tanks-constructed-within-the-project-area-32c60bfb014e803b82eae6b90d3b7dbd?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How many water storage tanks have been constructed with carbon finance revenues and reached practical completion within the project area during the reporting period?,,,No,Number of carbon-finance-supported water points installed within the project area (https://www.notion.so/Number-of-carbon-finance-supported-water-points-installed-within-the-project-area-32c60bfb014e80ae9b7cff7e76a8f560?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"What type of support does each program provide? (e.g. lunch program, learning kit distribution, uniform provision, tutoring)",,,No,Number of carbon-finance-supported school support programs launched within the project area (https://www.notion.so/Number-of-carbon-finance-supported-school-support-programs-launched-within-the-project-area-32c60bfb014e80698122c31136809455?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How many school support programs funded by carbon finance revenues have been formally launched and are actively delivering services within the project area during the reporting period?,,,No,Number of carbon-finance-supported school support programs launched within the project area (https://www.notion.so/Number-of-carbon-finance-supported-school-support-programs-launched-within-the-project-area-32c60bfb014e80698122c31136809455?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"For each latrine, is it located at a school or a community facility? Is it accessible to both male and female users?",,,No,Number of carbon-finance-supported school and community latrines built and functional within the project area (https://www.notion.so/Number-of-carbon-finance-supported-school-and-community-latrines-built-and-functional-within-the-pro-32c60bfb014e8078a259fdc46df538a5?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How many latrines constructed with   carbon finance revenues at schools and community facilities within the project area are currently built and confirmed functional?,,,No,Number of carbon-finance-supported school and community latrines built and functional within the project area (https://www.notion.so/Number-of-carbon-finance-supported-school-and-community-latrines-built-and-functional-within-the-pro-32c60bfb014e8078a259fdc46df538a5?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
What social service function does each  completed office serve? (e.g. community welfare coordination,,,No,Number of administrative offices completed within the project area (https://www.notion.so/Number-of-administrative-offices-completed-within-the-project-area-32c60bfb014e8007a581eca3ee046edc?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
How many administrative offices supporting social service delivery have been fully completed within the project area during the reporting period?,,,No,Number of administrative offices completed within the project area (https://www.notion.so/Number-of-administrative-offices-completed-within-the-project-area-32c60bfb014e8007a581eca3ee046edc?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Have you personally used any of the community facilities such as community centers, multipurpose halls, or youth centers constructed through the carbon finance project in the past three months?",,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Please disaggregate by treatment   technology type (e.g. filtration, chlorination, UV treatment, desalination) and by capital expenditure versus operational expenditure",,,No,Total carbon finance disbursed for the construction of water treatment plants (https://www.notion.so/Total-carbon-finance-disbursed-for-the-construction-of-water-treatment-plants-32d60bfb014e80f5b6cbff816ce2db09?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
What is the total amount of carbon  finance revenues disbursed for the construction of water treatment plants within the project area during the reporting period?,,,No,Total carbon finance disbursed for the construction of water treatment plants (https://www.notion.so/Total-carbon-finance-disbursed-for-the-construction-of-water-treatment-plants-32d60bfb014e80f5b6cbff816ce2db09?pvs=21),,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Please disaggregate by water access center type (e.g. community standpipe, water kiosk, borehole station) and by capital expenditure versus operational expenditure",,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
What is the total amount of carbon finance revenues disbursed for the construction of water access centers  within the project area during the reporting period?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Please disaggregate by activity type   (new construction versus improvement), infrastructure type (e.g. classrooms, sanitation, libraries), school level, and capital expenditure versus operational expenditure",,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
What is the total amount of carbon  finance revenues disbursed for the construction of new school infrastructure or improvement of existing school infrastructure within the project area during the reporting period?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Please disaggregate by activity type  (new construction versus rehabilitation), facility type, and capital expenditure versus operational expenditure",,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
What is the total amount of carbon finance revenues disbursed for the construction of new healthcare facilities  and rehabilitation of existing healthcare facility infrastructure within the project area during the reporting period?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Please disaggregate by facility type (e.g. community center, multipurpose hall, youth center) and by capital  expenditure versus operational expenditure",,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
What is the total amount of carbon  finance revenues disbursed for the construction of community facilities within the project area during the reporting period?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
Please disaggregate by capital   expenditure versus operational expenditure and by number of units under construction,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
What is the total amount of carbon finance revenues disbursed for the construction of affordable housing units within the project area during the reporting period?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Please disaggregate by facility type   (e.g. fire station, ambulance post, disaster response center) and by capital expenditure versus operational expenditure",,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
What is the total amount of carbon  finance revenues disbursed for the construction or upgrading of emergency service facilities within the project area during the reporting period?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Please disaggregate by facility type (e.g. community welfare office, food security distribution point, legal aid center, women and child protection facility) and by capital expenditure versus operational expenditure",,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
What is the total amount of carbon  finance revenues disbursed for the construction or upgrading of social protection centers within the project area during the reporting period?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Please disaggregate by infrastructure  type (e.g. transit hub, bus terminal, BRT corridor, ferry terminal) and by capital expenditure versus operational expenditure",,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
What is the total amount of carbon finance revenues disbursed for the construction or upgrading of public  transport infrastructure within the project area during the reporting period?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"What specific changes have you noticed? (e.g. new routes, shorter travel time, lower fares, new stops or terminals closer to your community) Do you consider yourself part of an underserved community in this area?",,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
"Since the carbon finance project invested in public transport infrastructure in your area, do you feel your access to public transportation has improved?",,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
What proportion of the total enrolled  student population is attending classes in these facilities? Are attendance records maintained and available for verification?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
Are students currently attending classes  in school facilities that were newly constructed or improved through the  carbon finance project during the current school term?,,,No,,,,No,,,,Not started,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services (https://www.notion.so/Access-to-Social-Services-31060bfb014e80469b85eeaf2548ed56?pvs=21)
