Indicator statement,Indicator descriptor,Sub-themes,Theme,Development Status,Indicator Type,Level of Analysis,ToC stage,Indicator sources,Developed By,Date Started,Date Completed,Status
Number of administrative offices completed within the project area,"This indicator measures the total number of administrative office facilities completed within the project area over a defined reporting period. Within the theme of access to social services and the subtheme of social infrastructure development, administrative offices are understood as facilities that support the planning, coordination, and delivery of social services to project-affected communities.",Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,"Community, System",1: Process,,Belinda Mziray,"March 20, 2026",,Not Published
Number of carbon-finance-supported school support programs launched within the project area,This indicator measures the total number of school support programs — including but not limited to lunch programs and learning kit distributions — launched with carbon finance support within the project area over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,"Community, System",1: Process,,Belinda Mziray,"March 20, 2026",,Not Published
Number of existing healthcare facilities rehabilitated within the project area,This indicator measures the total number of existing healthcare facilities — including clinics and health posts — that have undergone rehabilitation or repair works within the project area over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,"Community, System",1: Process,,Belinda Mziray,"March 20, 2026",,Not Published
Number of new healthcare facilities constructed from scratch with carbon finance support within the project area,This indicator measures the total number of new healthcare facilities — including clinics and health posts — constructed from scratch with carbon finance revenues within the project area over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,"Community, System",1: Process,,Belinda Mziray,"March 20, 2026",,Not Published
Number of medical staff offices created to support patient consultation.,This indicator measures the total number of dedicated medical staff consultation offices created with carbon finance revenues to support patient consultation within carbon-finance-supported healthcare facilities in the project area over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,"Community, System",1: Process,,Belinda Mziray,"March 20, 2026",,Not Published
Number of monthly patient visits per carbon-finance-supported healthcare facility within the project area,This indicator measures the average number of patient visits recorded per month at healthcare facilities constructed or rehabilitated with carbon finance revenues within the project area over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Individual,2: Outcome,,Belinda Mziray,"March 20, 2026",,Not Published
Number of new classrooms fully constructed and roofed within the project area,This indicator measures the total number of new classrooms that have been fully constructed and roofed within carbon-finance-supported school infrastructure within the project area over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,"Community, System",1: Process,,Belinda Mziray,"March 20, 2026",,Not Published
Number of carbon-finance-supported school and community latrines built and functional within the project area,This indicator measures the total number of latrines constructed with carbon finance revenues at schools and community facilities within the project area that are confirmed functional over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,"Community, System",1: Process,,Belinda Mziray,"March 20, 2026",,Not Published
Number of carbon-finance-supported storage tanks constructed within the project area.,This indicator measures the total number of water storage tanks constructed with carbon finance revenues within the project area over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,"Community, System",1: Process,,Belinda Mziray,"March 20, 2026",,Not Published
Number of carbon-finance-supported teacher houses completed within the project area,This indicator measures the total number of teacher residential houses completed with carbon finance revenues within the project area over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,"Community, System",1: Process,,Belinda Mziray,"March 20, 2026",,Not Published
Number of carbon-finance-supported water points installed within the project area,"This indicator measures the total number of water points, including boreholes and taps, installed with carbon finance revenues within the project area over a defined reporting period.",Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,"Community, System",1: Process,,Belinda Mziray,"March 20, 2026",,Not Published
Percentage of households in the project area using carbon-finance-supported improved water points,This indicator measures the proportion of households within the project area that report using carbon-finance-supported improved water points as a primary or secondary water source over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Household,2: Outcome,,Belinda Mziray,"March 20, 2026",,Not Published
Proportion of eligible households accessing affordable housing constructed through carbon-funded investments,"This indicator measures whether affordable housing constructed through carbon-funded investments is reaching its intended beneficiaries. It is an outcome indicator, linking housing construction investments to beneficiary access.",Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,In Refinement,Quantitative,"Household, Individual",2: Outcome,,Belinda Mziray,,,Not Published
Proportion of intended community members using community facilities constructed through carbon-funded investments,"This indicator measures whether community facilities constructed through carbon-funded investments are being used by the populations they were intended to serve. It is an outcome/usage indicator, linking facility construction investments to actual uptake by intended beneficiaries.",Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,In Refinement,Quantitative,"Community, Household, Individual",2: Outcome,,Belinda Mziray,,,Not Published
"Proportion of school-aged children enrolled in the school feeding program.
","This indicator measures the proportion of school-aged children within the project area who are enrolled in a school feeding program supported by carbon finance revenues over a defined reporting period.
",Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Individual,2: Outcome,,Belinda Mziray,"March 20, 2026",,Not Published
Proportion of students attending classes in carbon-finance-supported newly constructed or improved school facilities during the current school term,This indicator measures the proportion of students within the project area who are attending classes in school facilities newly constructed or improved with carbon finance revenues during the current school term.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Individual,2: Outcome,,Belinda Mziray,"March 20, 2026",,Not Published
Proportion of underserved population in project-targeted areas with improved access to public transportation following carbon-funded public transport infrastructure investments,"This indicator measures whether carbon-funded public transport infrastructure investments are associated with improved access to public transportation in the communities they are intended to serve. It is an outcome indicator, linking infrastructure spending to changes in transport access",Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Organisation,1: Process,,Belinda Mziray,,,Not Published
Total carbon finance disbursed for construction or upgrading of public transport infrastructure,"This indicator measures the total amount of carbon finance revenues actually disbursed for the construction or upgrading of public transport infrastructure within the project area over a defined reporting period. ",Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Organisation,1: Process,,Belinda Mziray,,,Not Published
Total carbon finance disbursed for construction or upgrading of social protection centers,"This indicator measures the total amount of carbon finance revenues actually disbursed for the construction or upgrading of social protection centers within the project area over a defined reporting period. ",Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Organisation,1: Process,,Belinda Mziray,,,Not Published
Total carbon finance disbursed for construction/upgrading of emergency service facilities,"This indicator tracks the monetary value of carbon finance revenues allocated and disbursed specifically for the construction or upgrading of emergency service facilities (e.g. fire stations, ambulance posts, disaster response centers) within the project area during a defined reporting period. 

",Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Organisation,1: Process,,Belinda Mziray,,,Not Published
Total carbon finance disbursed for the construction of affordable housing,"This indicator measures the total amount of carbon finance revenues actually disbursed for the construction of affordable housing units within the project area over a defined reporting period.
",Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Organisation,1: Process,,Belinda Mziray,,,Not Published
Total carbon finance disbursed for the construction of community facilities.,"This indicator measures the total amount of carbon finance revenues actually disbursed for the construction of community facilities, including community centers, multipurpose halls, youth centers, and other spaces designated for organized community activities, within the project area over a defined reporting period.",Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Organisation,1: Process,,Belinda Mziray,,,Not Published
Total carbon finance disbursed for the construction of new or improved healthcare facility infrastructure,This indicator measures the total amount of carbon finance revenues actually disbursed for the construction of new healthcare facilities built from scratch and the rehabilitation or improvement of existing healthcare facility infrastructure within the project area over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Organisation,1: Process,,Belinda Mziray,"March 20, 2026",,Not Published
Total carbon finance disbursed for the construction of new school infrastructure or improvement of existing infrastructure.,This indicator measures the total amount of carbon finance revenues actually disbursed for the construction of new school infrastructure or the improvement of existing school infrastructure within the project area over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Organisation,1: Process,,Belinda Mziray,"March 20, 2026",,Not Published
Total carbon finance disbursed for the construction of water access centers,This indicator measures the total amount of carbon finance revenues actually disbursed for the construction of water access centers within the project area over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Organisation,1: Process,,Belinda Mziray,"April 20, 2026",,Not Published
Total carbon finance disbursed for the construction of water treatment plants,This indicator measures the total amount of carbon finance revenues actually disbursed for the construction of water treatment plants within the project area over a defined reporting period.,Social infrastructure development  (https://www.notion.so/Social-infrastructure-development-32c60bfb014e809dba36f295f313409d?pvs=21),Access to Social Services,Ready for Peer Review,Quantitative,Organisation,1: Process,,Belinda Mziray,"April 20, 2026",,Not Published
"Proportion of low-income households in the project area utilizing verified financial support (subsidies, fee waivers, or social protection schemes) to access healthcare services.","Tracks whether individuals and households can access subsidies, fee waivers, or social protection schemes to reduce the cost of healthcare services",Affordability & Financial Inclusion (https://www.notion.so/Affordability-Financial-Inclusion-32f60bfb014e80d78fd7dbaaf96bc291?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
"Proportion of households or individuals with access to financial tools (e.g., savings groups, microloans, health insurance) to afford essential services that provide social protection floors/systems. ","Tracks whether individuals and households can access subsidies, fee waivers, or social protection schemes to reduce the cost of education services.",Affordability & Financial Inclusion (https://www.notion.so/Affordability-Financial-Inclusion-32f60bfb014e80d78fd7dbaaf96bc291?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
"Proportion of households or individuals with access to financial tools (e.g., savings groups, microloans, health insurance) to afford essential services that provide social protection floors/systems. ","Tracks whether individuals and households can access subsidies, fee waivers, or social protection schemes to reduce the cost of education services.",Affordability & Financial Inclusion (https://www.notion.so/Affordability-Financial-Inclusion-32f60bfb014e80d78fd7dbaaf96bc291?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
"Proportion of households or individuals with access to financial tools (e.g., savings groups, microloans, health insurance) to afford essential services that provide social protection floors/systems. ","Measure of household economic resilience and the strength of local safety nets. This assesses whether families have the liquid resources or credit facilities necessary to withstand life shocks (like illness or crop failure) without falling into a cycle of debt or poverty. It evaluates the shift from financial vulnerability to household-level stability, ensuring that ""social protection floors"" are not just theoretical policies, but accessible realities that allow the most marginalized to afford the dignity of essential services.",Affordability & Financial Inclusion (https://www.notion.so/Affordability-Financial-Inclusion-32f60bfb014e80d78fd7dbaaf96bc291?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
"Proportion of households or individuals with access to financial tools (e.g., savings groups, microloans, health insurance) to afford essential services that provide social protection floors/systems. ","Tracks whether individuals and households can access subsidies, fee waivers, or social protection schemes to reduce the cost of healthcare.",Affordability & Financial Inclusion (https://www.notion.so/Affordability-Financial-Inclusion-32f60bfb014e80d78fd7dbaaf96bc291?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
Proportion of households reporting improved access to education services due to financial support programs,"Tracks whether individuals and households can access subsidies, fee waivers, or social protection schemes to reduce the cost of education.",Affordability & Financial Inclusion (https://www.notion.so/Affordability-Financial-Inclusion-32f60bfb014e80d78fd7dbaaf96bc291?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
Proportion of households reporting improved access to healthcare services due to financial support programs,"Measures the extent to which individuals or households use financial tools (e.g., savings groups, microloans, health insurance) to afford essential services.",Affordability & Financial Inclusion (https://www.notion.so/Affordability-Financial-Inclusion-32f60bfb014e80d78fd7dbaaf96bc291?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
,"Measures the extent to which individuals or households use financial tools (e.g., savings groups, microloans, health insurance) to afford essential services.",Affordability & Financial Inclusion (https://www.notion.so/Affordability-Financial-Inclusion-32f60bfb014e80d78fd7dbaaf96bc291?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
"Proportion of school-aged children from low-income households in the project area receiving verified scholarships, stipends, or fee waivers that cover direct education costs (tuition, materials, transportation).","Measures the extent to which individuals or households use financial tools (e.g., savings groups, microloans, health insurance) to afford essential services.",Affordability & Financial Inclusion (https://www.notion.so/Affordability-Financial-Inclusion-32f60bfb014e80d78fd7dbaaf96bc291?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
"Proportion of school-aged children from low-income households in the project area receiving verified scholarships, stipends, or fee waivers that cover direct education costs (tuition, materials, transportation).","Measures the extent to which individuals or households use financial tools (e.g., savings groups, microloans, health insurance) to afford essential services.",Affordability & Financial Inclusion (https://www.notion.so/Affordability-Financial-Inclusion-32f60bfb014e80d78fd7dbaaf96bc291?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
Proportion of households in remote or underserved areas who report having physical access to healthcare within a reasonable distance.,Measures the proportion of households in remote or underserved areas who report having physical access to healthcare within a reasonable distance.,Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services,Approved,"Qualitative, Quantitative",Household,1: Process,,Belinda Mziray,,,Published
Proportion of households or individuals that indicate the transportation available for reaching different essential social services such as hopsitals and schools is on time and can be frequently accessed when needed,"Assesses whether transportation infrastructure (e.g., roads, public transport, bicycles) is available and functional to enable access to essential services.",Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services,Approved,"Qualitative, Quantitative",Household,1: Process,,Belinda Mziray,,,Published
"Proportion of households or individuals that indicate the transportation available for reaching different essential social services such as hopsitals and schools is safe ","Assesses whether transportation infrastructure (e.g., roads, public transport, bicycles) is available and functional to enable access to essential services.",Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services,Approved,"Qualitative, Quantitative",Household,1: Process,,Belinda Mziray,,,Published
"Proportion of households or individuals that devot or spend more than 10% of its expenditure to meeting its mobility and transportation needs in accessing essential social services ","Assesses whether transportation infrastructure (e.g., roads, public transport, bicycles) is available and functional to enable access to essential services.",Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services,Approved,"Qualitative, Quantitative",Household,1: Process,,Belinda Mziray,,,Published
"Proportion of households or individuals with physical access to one or more forms of public transport networks they can use to access or reach different social services such as healthcare services, schools and social protection services.","Assesses whether transportation infrastructure (e.g., roads, public transport, bicycles) is available and functional to enable access to essential services.",Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services,Approved,"Qualitative, Quantitative",Household,1: Process,,Belinda Mziray,,,Published
"Proportion of households or individuals with physical access to one or more forms of transportation they can use to access or reach different social services such as healthcare services, schools and social protection services.","Assesses whether transportation infrastructure (e.g., roads, public transport, bicycles) is available and functional to enable access to essential services.",Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services,Approved,"Qualitative, Quantitative",Household,1: Process,,Belinda Mziray,,,Published
Proportion of households or individuals in remote areas  proportion of households in remote or underserved areas who report having physical access to social protection services  within a reasonable distance.,"Measures the proportion of households in remote or underserved areas who report having physical access to healthcare, education, and social protection services within a reasonable distance.",Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services,Approved,"Qualitative, Quantitative",Household,1: Process,,Belinda Mziray,,,Published
Proportion of households or individuals in remote areas  proportion of households in remote or underserved areas who report having physical access to education services within a reasonable distance.,"Measures the proportion of households in remote or underserved areas who report having physical access to healthcare, education, and social protection services within a reasonable distance.",Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services,Approved,"Qualitative, Quantitative",Household,1: Process,,Belinda Mziray,,,Published
Proportion of households or individuals in remote areas  proportion of households in remote or underserved areas who report having physical access to healthcare services within a reasonable distance.,"Measures the proportion of households in remote or underserved areas who report having physical access to healthcare, education, and social protection services within a reasonable distance.",Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services,Approved,"Qualitative, Quantitative",Household,1: Process,,Belinda Mziray,,,Published
Proportion of households in remote or underserved areas who report having physical access to social protection services within a reasonable distance.,Measures the proportion of households in remote or underserved areas who report having physical access to social protection services within a reasonable distance.,Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services,Approved,"Qualitative, Quantitative",Household,1: Process,,Belinda Mziray,,,Published
Proportion of households in remote or underserved areas who report having physical access to social protection services services within a reasonable distance.,Measures the proportion of households in remote or underserved areas who report having physical access to education services within a reasonable distance.,Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services,Approved,"Qualitative, Quantitative",Household,1: Process,,Belinda Mziray,,,Published
Proportion of households in remote or underserved areas who report having physical access to education services within a reasonable distance.,Measures the proportion of households in remote or underserved areas who report having physical access to education services within a reasonable distance.,Geographic Accessibility (https://www.notion.so/Geographic-Accessibility-32f60bfb014e80a1a091c2acbb67a63f?pvs=21),Access to Social Services,Approved,"Qualitative, Quantitative",Household,1: Process,,Belinda Mziray,,,Published
"Proportion of individuals from marginalized groups (e.g. women, youth, persons with disabilities, ethnic minorities) who report being able to access healthcare services without discrimination or barriers.","Measures the proportion of individuals from marginalized groups (e.g. women, youth, persons with disabilities, ethnic minorities) who report being able to access education, healthcare, and social protection services without discrimination or barriers.",Inclusive Access  (https://www.notion.so/Inclusive-Access-32f60bfb014e806ea069cbb92ab9616e?pvs=21),Access to Social Services,Approved,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Published
Proportion of households or individuals who report different having experienced different adaptations and acccomodations to allow them to access social services,"Assesses whether services have been adapted to meet the needs of different groups, including gender-responsive approaches, disability access, and culturally appropriate service delivery.",Inclusive Access  (https://www.notion.so/Inclusive-Access-32f60bfb014e806ea069cbb92ab9616e?pvs=21),Access to Social Services,Approved,Quantitative,Household,2: Outcome,,Belinda Mziray,,,Published
"Proportion of households or individuals from marginalized groups (e.g. women, youth, persons with disabilities, ethnic minorities) who report experiencing different barriers to access education, healthcare, and social protection services without discrimination or barriers","Measures the proportion of individuals from marginalized groups (e.g. women, youth, persons with disabilities, ethnic minorities) who report being able to access education, healthcare, and social protection services without discrimination or barriers.",Inclusive Access  (https://www.notion.so/Inclusive-Access-32f60bfb014e806ea069cbb92ab9616e?pvs=21),Access to Social Services,Approved,Quantitative,Household,2: Outcome,,Belinda Mziray,,,Published
"Proportion of households or individuals from marginalized groups (e.g. women, youth, persons with disabilities, ethnic minorities) who report being able to access education, healthcare, and social protection services without discrimination or barriers","Measures the proportion of individuals from marginalized groups (e.g. women, youth, persons with disabilities, ethnic minorities) who report being able to access education, healthcare, and social protection services without discrimination or barriers.",Inclusive Access  (https://www.notion.so/Inclusive-Access-32f60bfb014e806ea069cbb92ab9616e?pvs=21),Access to Social Services,Approved,Quantitative,Household,2: Outcome,,,,,Published
"Proportion of individuals from marginalized groups (e.g. women, youth, persons with disabilities, ethnic minorities) who report being able to access social protection services without discrimination or barriers.","Measures the proportion of individuals from marginalized groups (e.g. women, youth, persons with disabilities, ethnic minorities) who report being able to access education, healthcare, and social protection services without discrimination or barriers.",Inclusive Access  (https://www.notion.so/Inclusive-Access-32f60bfb014e806ea069cbb92ab9616e?pvs=21),Access to Social Services,Approved,Quantitative,Individual,2: Outcome,,,,,Published
"Proportion of individuals from marginalized groups (e.g. women, youth, persons with disabilities, ethnic minorities) who report being able to access education without discrimination or barriers.","Measures the proportion of individuals from marginalized groups (e.g. women, youth, persons with disabilities, ethnic minorities) who report being able to access education without discrimination or barriers.",Inclusive Access  (https://www.notion.so/Inclusive-Access-32f60bfb014e806ea069cbb92ab9616e?pvs=21),Access to Social Services,Approved,Quantitative,Individual,2: Outcome,,,,,Published
Proportion of households or individuals who can name a healthcare service facility near them where they can access necessary healthcare services,"Measures community awareness of proximate healthcare facilities, including hospitals, clinics, health centers, or other medical service points. This indicator reflects whether populations know where to seek medical care when needed and serves as a precondition for healthcare utilization. Low scores may indicate gaps in health system communication, inadequate signage, or insufficient community outreach about available health services.",Service Awareness & Outreach (https://www.notion.so/Service-Awareness-Outreach-32f60bfb014e801f9b25eb50ac57fe58?pvs=21),Access to Social Services,Approved,Quantitative,Household,1: Process,,Belinda Mziray,,,Published
Proportion of reached individuals or households  who report that the information made it easier for them or others in the community to use services.,,Service Awareness & Outreach (https://www.notion.so/Service-Awareness-Outreach-32f60bfb014e801f9b25eb50ac57fe58?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
Proportion of the individuals or households  who report receiving information about public services through community outreach efforts in the last year,,Service Awareness & Outreach (https://www.notion.so/Service-Awareness-Outreach-32f60bfb014e801f9b25eb50ac57fe58?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
The proportion of surveyed individuals (or household representatives) who are aware of a specific service and can correctly describe at least two of the three key steps required to access it.,"Measures the proportion of community members who are aware that essential services (e.g., healthcare, education, social protection) exist and understand how to access and use them.",Service Awareness & Outreach (https://www.notion.so/Service-Awareness-Outreach-32f60bfb014e801f9b25eb50ac57fe58?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
Proportion of surveyed individuals (or household representatives) who are aware of a specific service and can correctly describe at least two of the three key steps required to access it.,"Measures the proportion of community members who are aware that essential services (e.g., healthcare, education, social protection) exist and understand how to access and use them.",Service Awareness & Outreach (https://www.notion.so/Service-Awareness-Outreach-32f60bfb014e801f9b25eb50ac57fe58?pvs=21),Access to Social Services,Approved,Quantitative,Individual,1: Process,,Belinda Mziray,,,Published
"Proportion of households or individuals who can name a public or private facility where they can access social protection services ","Measures knowledge of facilities providing social protection services such as social welfare offices, cash transfer programs, disability services, pension offices, or community support centers. This indicator reveals whether vulnerable populations know where to access safety net programs and social assistance. Low awareness can significantly impede uptake of social protection schemes, even when individuals are eligible, highlighting needs for targeted information campaigns and community-based outreach.",Service Awareness & Outreach (https://www.notion.so/Service-Awareness-Outreach-32f60bfb014e801f9b25eb50ac57fe58?pvs=21),Access to Social Services,Approved,Quantitative,"Household, Individual",1: Process,,Belinda Mziray,,,Published
Proportion of households or individuals who can name a school or education institution where they or their children can access education services of their specific level,"Assesses household knowledge of appropriate educational facilities matching their or their children's education level (primary, secondary, tertiary, vocational, etc.). This indicator captures whether families know where to enroll or continue education and reflects the effectiveness of education sector information dissemination. It identifies potential enrollment barriers related to awareness rather than access, particularly important for vulnerable populations or in areas with dispersed services.",Service Awareness & Outreach (https://www.notion.so/Service-Awareness-Outreach-32f60bfb014e801f9b25eb50ac57fe58?pvs=21),Access to Social Services,Approved,Quantitative,"Household, Individual",1: Process,,Belinda Mziray,,,Published
Percentage of households within the project boundary that demonstrate knowledge of child protection referral pathways and report zero barriers to accessing them by <<defined period>>,"Measures the proportion of children and families who are aware of, and able to access, formal or community-based child protection services when needed (e.g., case management, legal support, referrals).",Child Protection & Support for Vulnerable Children (https://www.notion.so/Child-Protection-Support-for-Vulnerable-Children-32f60bfb014e807f9066e2fd3d4e689b?pvs=21),Improved Quality of Social Services,Approved,Quantitative,Household,2: Outcome,,Belinda Mziray,,,Published
Percentage of caregivers completing project-funded 'Positive Parenting' cycles who report a reduction in the use of violent discipline and improved household stability within 12 months.,"Measures the availability and use of programmes that support families to care for and protect their children, such as parenting education, economic support, psychosocial counselling, or family mediation.",Child Protection & Support for Vulnerable Children (https://www.notion.so/Child-Protection-Support-for-Vulnerable-Children-32f60bfb014e807f9066e2fd3d4e689b?pvs=21),Improved Quality of Social Services,Approved,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Published
Percentage of caregivers completing project-funded 'Positive Parenting' cycles who report a reduction in the use of violent discipline and improved household stability within 12 months.,"Measures the availability and use of programmes that support families to care for and protect their children, such as parenting education, economic support, psychosocial counselling, or family mediation.",Child Protection & Support for Vulnerable Children (https://www.notion.so/Child-Protection-Support-for-Vulnerable-Children-32f60bfb014e807f9066e2fd3d4e689b?pvs=21),Improved Quality of Social Services,Approved,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Published
"Percentage of identified Orphans and Vulnerable Children (OVCs) within the project boundary maintained in formal or vocational education, with documented access to project-funded family-strengthening services per annum.","Measures the extent to which OVCs are supported through access to education, alternative care, and family-strengthening services.",Child Protection & Support for Vulnerable Children (https://www.notion.so/Child-Protection-Support-for-Vulnerable-Children-32f60bfb014e807f9066e2fd3d4e689b?pvs=21),Improved Quality of Social Services,Approved,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Published
"Percentage of identified Orphans and Vulnerable Children (OVCs) within the project boundary maintained in formal or vocational education, with documented access to project-funded family-strengthening services per annum.","Measures the extent to which OVCs are supported through access to education, alternative care, and family-strengthening services.",Child Protection & Support for Vulnerable Children (https://www.notion.so/Child-Protection-Support-for-Vulnerable-Children-32f60bfb014e807f9066e2fd3d4e689b?pvs=21),Improved Quality of Social Services,Approved,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Published
"Percentage of reported child protection incidents that receive a formal follow-up and documented support intervention (legal, medical, or psychosocial) within 72 hours of the initial report.","Assesses whether child protection systems respond promptly and appropriately to reported incidents, including rates of reporting, follow-up, and support provided.",Child Protection & Support for Vulnerable Children (https://www.notion.so/Child-Protection-Support-for-Vulnerable-Children-32f60bfb014e807f9066e2fd3d4e689b?pvs=21),Improved Quality of Social Services,Approved,Quantitative,Individual,2: Outcome,,Belinda Mziray,,,Published
